1,North Eric Village,1,1,8726,https://bell-murphy.com/,90564 Nichols Creek Apt. 205,Lawsonview,45,86312,-55.9288655,11.097313
2,Haydenborough Units,2,2,7802,https://lawrence.com/,421 Barron Plaza Suite 695,Lake Jonathan,39,84411,12.7383825,-98.866907
3,Rubenton Park,2,1,3161,http://clark.com/,67383 Glover Groves,Woodton,13,61276,63.173176,-154.532473
4,New Gloriatown Park,1,1,10584,https://price.com/,11090 Johnson Islands Apt. 458,West Michael,7,11944,67.700131,-8.127792
5,West Cristina Square,1,1,7792,http://jones.com/,916 Michael Locks Suite 590,North Josephview,55,09104,-74.182223,-15.183613
6,Weissstad House,1,2,5045,https://murphy.com/,978 Christian Road,New Crystalberg,48,89433,24.822780,10.245899
7,Loristad Court,1,3,7400,https://www.wells.com/,212 Ashley Ridge Apt. 923,North Jessemouth,15,02706,-9.7472075,-130.372766
8,Rebekahville Village,1,3,1400,http://www.holmes.com/,987 Samuel Ridges,North Jonathan,35,39805,-34.814980,37.203644
9,Martinezchester Views,2,2,1187,https://www.stevens-herring.biz/,40879 Ricardo Courts Apt. 947,Lake Amberfort,9,66787,-75.533345,-156.028004
10,Lake Lisaland Living,1,1,8124,http://harrington.biz/,289 Brandt Manor,East Alexander,15,94291,-33.9560195,-76.822443
11,Lake Jackie Homes,1,3,588,http://www.hicks-velez.com/,565 Evans Gardens Apt. 379,South Kelliehaven,27,44430,-37.816219,72.499185
12,Ramirezville Place,1,3,4163,https://www.reed.com/,872 Juarez Lake,Jenniferview,30,44180,78.121509,115.940395
13,West Brentbury House,1,1,1968,http://eaton.com/,920 Jacobson Canyon,West William,51,83559,-80.3416685,-55.524346
14,Steventown Units,2,1,10759,http://mckenzie.com/,134 Murray Glen Suite 736,Burkeshire,46,89756,-55.728774,78.494135
15,South Lisa Apartments,2,2,2084,https://vang.info/,72225 Lauren Estates,Port Kristiview,42,34943,-66.442417,122.049254
16,Port Jamesshire Views,1,1,455,http://www.johnson.com/,947 Dorothy Club Suite 631,Port Janicefurt,25,95811,-61.978395,64.740721
17,Conleytown Views,2,2,3658,http://www.mann.info/,8360 Tammie Ways,Kevinport,45,39348,-65.4404055,23.656091
