1,Robertson-Cole,3.9,67
2,"Hopkins, Miller and Cuevas",1.4,5
3,Barber-Davis,0.3,358
4,Burgess-Sanchez,2.5,130
5,Tanner-Barnes,2.1,205
6,"Francis, Williams and Huffman",2.1,258
7,"Rangel, Gonzales and Sheppard",2.0,223
8,"Cox, Cantrell and Morris",1.1,152
9,Castro-Farmer,2.0,98
10,Johnson-Hoffman,1.3,344
11,Mcclure-Marquez,2.7,251
12,Dixon-Gardner,1.8,216
13,Harris-Sims,0.5,288
14,Lane-Hall,3.0,224
15,Hawkins Ltd,4.7,169
16,"Romero, Smith and Kelley",1.5,107
17,"Wagner, Brady and Rivera",4.9,10
18,"Perez, Porter and Mendez",0.6,150
19,"Wallace, Schmidt and Greene",3.6,185
20,Walsh Group,3.2,240
21,"Martinez, Weber and Garcia",4.0,27
22,Black-Hodges,0.7,268
23,Jackson LLC,1.0,11
24,"Hicks, Riddle and Allen",0.1,369
25,Nguyen LLC,2.7,143
26,"Davis, Hess and Taylor",4.5,55
27,Lee-Griffin,0.1,11
28,"Jackson, Ingram and White",2.5,171
29,Fuentes LLC,1.6,355
30,Meyer Inc,0.1,59
31,Hood Inc,4.5,164
32,Thomas Group,0.7,146
33,"Harper, Stevenson and Gordon",4.0,55
34,Bennett LLC,0.1,38
35,"Mcclain, Mcdonald and Carpenter",2.0,229
36,"Lucas, Rodriguez and Adkins",0.2,309
37,"Mccoy, Jenkins and Miller",4.6,187
38,"Swanson, Sanchez and Delgado",4.2,355
39,Cameron LLC,2.5,329
40,Thomas Inc,0.7,263
41,"Cortez, Harrington and Lyons",2.0,358
42,"Miller, Palmer and Solomon",2.0,107
43,Gonzales PLC,0.3,118
44,Ryan LLC,2.0,386
45,Sanford Ltd,1.1,153
46,"Jones, Hicks and Cox",3.6,104
47,Simon Inc,0.5,199
48,Vega-King,1.4,278
49,Burnett and Sons,0.1,57
50,Parker-Larsen,0.2,154
51,"Graves, Bowers and Mcdaniel",2.4,341
52,"Ferguson, Ross and Rodriguez",3.7,311
53,Fisher-Parsons,4.7,361
54,Harrell PLC,4.8,339
55,"Hall, Ellison and Gomez",3.2,22
56,Humphrey PLC,0.4,109
57,Taylor Ltd,3.6,272
58,"Marshall, Beck and Anderson",1.0,151
59,Cobb-Snyder,0.3,396
60,Turner PLC,2.8,225
61,Gay Inc,2.4,217
62,Hicks-Mckinney,0.2,193
63,Rodriguez and Sons,4.9,217
64,Gilbert-Perry,1.3,210
65,Gonzales-Gomez,3.1,396
66,"Schwartz, Smith and Carrillo",3.4,272
67,"Martin, King and Vega",1.7,89
68,"Brooks, Barton and Valenzuela",0.1,215
69,Torres Inc,3.0,62
70,"Oconnell, Pitts and Lowe",1.7,1
71,Morales Group,3.8,318
72,"Baldwin, Boyle and Lopez",2.6,265
73,"Howell, Ross and Harris",1.9,157
74,Davis-Allison,4.2,134
75,"Cole, Murphy and Green",0.4,154
76,Sharp-Watkins,2.3,373
77,Walker Ltd,2.7,129
78,Brown-Warner,0.6,39
79,Mosley LLC,1.8,33
80,Fox-Juarez,4.8,188
81,Williamson PLC,3.7,87
82,"Bennett, Williams and Watson",4.0,292
83,Gomez-Cole,3.4,298
84,"Long, Randall and Hernandez",4.0,294
85,Valdez Inc,3.3,46
86,"Johnson, Holland and Sanchez",4.1,183
87,Jenkins-Knight,0.8,52
88,West-Black,1.2,261
89,Bell Inc,4.4,199
90,Bentley-Sanchez,0.7,341
91,"Barnes, Pitts and Carter",1.2,201
92,"Castillo, Flores and Campbell",4.8,212
93,"Cooke, Murphy and Barron",0.3,239
94,Barnes-Smith,0.6,61
95,"Bautista, Terry and Hill",1.6,24
96,Lopez-Bell,2.3,140
97,"Whitehead, Buckley and Fleming",3.2,78
98,"Carpenter, Contreras and Mitchell",2.2,124
99,Sanford-Fletcher,3.1,108
100,Jones Group,0.9,357
101,Pena Group,2.7,97
102,Cortez PLC,4.5,357
103,Baker and Sons,0.8,156
104,Williamson and Sons,1.6,10
105,Johnston-Walters,4.6,29
106,"Alvarez, King and Compton",2.9,28
107,Anderson Ltd,1.5,119
108,"Cooper, Espinoza and Patterson",2.1,283
109,"Miller, Gutierrez and Mccullough",1.1,387
110,Sanchez-Lawson,4.3,281
111,Jacobs-Williams,3.8,161
112,"Nelson, Watts and Mathis",1.9,243
113,Cameron-Giles,2.3,40
114,Hammond-Hernandez,4.8,383
115,Martinez and Sons,0.5,235
116,Dunn-Phillips,1.7,345
117,Rodriguez-James,2.6,366
118,"Brady, Macdonald and Jones",3.0,369
119,Coleman-Hamilton,2.9,236
120,Jones PLC,2.5,377
121,Pugh-Holland,1.9,245
122,"Hamilton, Maldonado and Delgado",2.4,297
123,Bryant-Doyle,0.4,285
124,Johnson-Armstrong,0.1,385
125,Stevens and Sons,4.0,234
126,Reyes Ltd,0.2,273
127,King-Young,3.2,338
128,"Hopkins, Finley and Ramos",0.1,269
129,Sanchez PLC,0.7,353
130,Harris-Graham,3.8,212
131,Kennedy-Martinez,4.0,200
132,Murphy-Montgomery,0.1,287
133,Golden Inc,0.3,148
134,Williams Group,0.6,284
135,"Nelson, Hall and Wilson",0.2,124
136,Miller-Whitaker,2.3,381
137,Jackson Ltd,1.5,331
138,Peterson-Cooper,1.8,144
139,Day Ltd,1.5,19
140,Casey-Roberts,3.6,222
141,Thompson Ltd,1.3,105
142,Williams Inc,3.0,224
143,"Fowler, Wagner and Hansen",5.0,24
144,"Marshall, Howard and Taylor",4.1,298
145,"Anderson, Martinez and Frank",0.8,328
146,"Mcdaniel, Dean and Brown",2.8,230
147,"Coffey, James and Chen",4.8,317
148,Winters-Mathis,0.6,6
149,"Elliott, Wright and Hall",2.0,371
150,Jones-Duran,1.6,295
151,"Howard, Gonzalez and Rodriguez",0.3,218
152,"Clark, Summers and Osborn",2.6,162
153,Baker-Gomez,3.4,342
154,Young-Harris,3.8,277
155,"Rivera, Stewart and Anderson",1.1,88
156,Brewer LLC,4.7,188
157,Barnes-Anderson,3.2,206
158,Gould-Brady,0.4,21
159,Moore-Sanchez,1.5,107
160,Lewis-Reynolds,1.2,324
161,Rodriguez-Jones,0.4,181
162,Morales-Jenkins,2.9,192
163,Murphy Inc,0.7,278
164,Smith Inc,2.1,85
165,"May, Schneider and Wright",4.2,355
166,"Bryant, Perez and Gonzalez",2.8,359
167,Ellis Group,5.0,317
168,"Dorsey, Nelson and Hayes",3.6,297
169,Chambers-Mullins,2.1,210
170,Johnson-Garrett,3.0,268
171,Calderon LLC,2.9,288
172,"Shaffer, Page and Barrera",3.2,93
173,Weaver-Walsh,0.7,297
174,Shah LLC,1.6,387
175,Day-Rogers,0.9,174
176,"Strickland, Santana and Rogers",2.3,92
177,Donaldson Group,0.0,261
178,Barnes-Ferguson,1.4,180
179,"Sanchez, Johnson and Swanson",0.5,288
180,Hughes LLC,2.0,310
181,Fuentes Inc,1.2,133
182,"Perez, Adams and Thornton",4.8,192
183,"Caldwell, Michael and Warner",0.3,265
184,Hunt Inc,3.0,354
185,Cole Inc,1.0,140
186,Cox LLC,3.9,45
187,Pope PLC,2.7,24
188,Jones-Nichols,2.5,368
189,Marquez Group,4.5,42
190,"Murphy, Dominguez and Garcia",2.7,124
191,"Edwards, Sanchez and Williams",4.7,287
192,Johnson Group,0.3,55
193,"Turner, Kennedy and Gonzales",3.6,27
194,Mccann-Thornton,4.7,162
195,Moore-Snyder,2.3,121
196,Clark-Gomez,1.8,388
197,Smith-Harris,2.1,156
198,Maldonado-Weber,1.5,203
199,"Wood, Daniels and Mendez",1.1,262
200,Stone-Terry,2.2,289
201,Sullivan and Sons,2.4,227
202,"Pollard, Ballard and Rivera",3.9,111
203,Cruz Inc,2.1,70
204,Thomas-Fisher,2.7,192
205,"Knight, Jennings and Meadows",3.1,43
206,Johnson-Williams,2.3,170
207,"Gibson, Cook and Barnes",1.6,303
208,Morales-Jones,2.0,269
209,"Cochran, Vasquez and Wells",4.5,203
210,Baker-Schneider,0.2,302
